route_id,service_id,trip_id,direction_id,shape_id
L252001,everyday,L252001_F_1,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_1,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_2,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_2,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_3,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_3,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_4,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_4,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_5,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_5,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_6,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_6,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_7,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_7,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_8,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_8,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_9,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_9,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_10,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_10,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_11,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_11,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_12,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_12,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_13,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_13,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_14,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_14,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_15,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_15,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_16,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_16,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_17,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_17,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_18,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_18,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_19,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_19,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_20,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_20,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_21,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_21,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_22,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_22,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_23,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_23,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_24,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_24,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_25,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_25,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_26,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_26,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_27,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_27,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_28,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_28,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_29,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_29,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_30,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_30,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_31,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_31,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_32,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_32,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_33,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_33,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_34,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_34,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_35,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_35,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_36,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_36,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_37,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_37,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_38,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_38,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_39,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_39,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_40,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_40,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_41,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_41,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_42,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_42,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_43,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_43,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_44,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_44,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_45,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_45,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_46,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_46,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_47,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_47,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_48,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_48,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_49,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_49,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_50,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_50,1,shape_EL_MERIDJ_ZAAMOUCHE
L252001,everyday,L252001_F_51,0,shape_ZAAMOUCHE_EL_MERIDJ
L252001,everyday,L252001_B_51,1,shape_EL_MERIDJ_ZAAMOUCHE
